name,lat,lon
Khagrachhari-Chattogram highway,22.7981,91.8542
Chattogram-Khagrachhari highway,22.7981,91.8542
Khagrachhari-Baraiyarhat road,23.0012,91.7563
Khagrachhari-Chattogram road,22.7981,91.8542
Chattogram-Khagrachhari road,22.7981,91.8542
khagrachhari-rangamati road,22.861611,92.025777
Baitush Sharaf Madrasa area,22.3362,91.8166
Dighinala-Khagrachhari road,23.2408,92.0641
Chattogram Karnaphuli area,22.3,91.9
Keranihat-Bandarban sorok,22.10206,92.07409
খাগড়াছড়ি-চট্রগ্রাম মহাসড়ক,22.7981,91.9964954
চট্টগ্রাম-খাগড়াছড়ি মহাসড়ক,22.7981,91.7903683
খাগড়াছড়ি-বারাইয়ার হাট রোড,23.0012,91.7563
Keranihat-Bandarban road,22.10206,92.07409
কেরানীহাট-বান্দরবান সড়ক,22.10206,92.07409
চট্টগ্রাম-খাগড়াছড়ি মহাস,22.7981,91.8542
Matiranga Baillyachhari,23.0183,91.8906
খাগড়াছড়ি-রাঙ্গামাটি সড়ক,22.861611,92.025777
Jaliapara-Ramgarh sorok,22.9695271,91.7068056
বান্দরবান বিশ্ববিদ্যালয়,22.132,92.1703
সাজেক কিলোমিটার পয়েন্ট,23.3857,92.292
চট্টগ্রাম-খাগড়াছড়ি সড়ক,22.7981,91.8542
বান্দরবান ইউনিভার্সিটি,22.132,92.1703
kaptai-asambasti road,22.5685,92.195
বগালেক -কেওক্রাডং সড়ক,21.9781572,92.4701888
জালিয়াপাড়া-রামগড় সড়ক,22.9695271,91.7068056
bandarban university,22.132,92.1703
Forest Office area,22.6366,92.1794
চৌধুরী পাড়ার উত্তর,21.28533,92.0932321
পাইন্দং আমতল এলাকা,22.6972,91.7915
টিভি সেন্টার এলাকা,22.6563,92.1706
Khagrachari sadar,23.0417,91.995
lama-sualok sorok,21.9961,92.2038
bus station area,22.4610832,91.8165153
matamuhuri river,21.783488,92.190186
লামা-লাইঝিরি সড়ক,21.7825,92.2023
lama-sualok road,21.9961,92.2038
Baraiyarhat road,23.0012,91.7563
আলীকদম-থানচি সড়ক,21.735822,92.421305
্লামা-সুয়ালক সড়ক,21.9961,92.2038
থানচি-আলীকদম সড়ক,21.735822,92.421305
karnaphuli river,22.2209,91.8066
Shah Amanat para,22.4570566,91.8167791
matamuhuri nodi,21.783488,92.190186
darjeeling para,21.9567,92.5028
আর্মি জোন এলাকা,23.8056136,90.404193
thanchi simanta,21.24362,92.35761
যৌথ খামার এলাকা,22.6285,92.1158
লামা-আলীকদম সড়ক,21.7204,92.2608
sajek-dighinala,23.2878,92.0787
লামা-সুয়ালক সড়ক,21.9961,92.2038
খাগড়াছড়ি মহাসড়ক,22.7981,91.7903683
বারাইয়ারহাট রোড,23.0012,91.7563
মনিয়া পুকুর পাড়,22.58355,91.79475
karnaphuli nodi,22.2209,91.8066
alikadam sorok,21.6588,92.3186
চন্দ্রঘোনা সড়ক,22.4752,92.1417
মাতামুহুরী নদী,21.783488,92.190186
দার্জিলিং পাড়া,21.9567,92.5028
শাহ আমানত পাড়া,22.4570566,91.8167791
kilometer area,22.3626541,91.851553
নতুন বাসস্টেশন,23.8398866,90.4172634
Chowdhury para,21.4350766,92.0007747
army Zone area,24.2897439,89.008877
মিরিঞ্জা এলাকা,21.7825,92.1764
কর্ণফুলী এলাকা,22.3,91.9
সবুজ বাগ এলাকা,26.2771216,88.5622984
থানচি সীমান্ত,21.24362,92.35761
alikadam road,21.6588,92.3186
reserve baZar,22.6558,92.1959
বাঙ্গালি পাড়া,22.1974,92.2185
রিজার্ভ বাজার,22.6558,92.1959
খাগড়াছড়ি সদর,23.0417,91.995
College Gate,22.66379,92.16243
Rowangchhari,22.1667,92.3333
চেঙ্গী ব্রিজ,23.103611,91.968889
বাঙ্গালীপাড়া,22.1974,92.2185
jibtali road,22.5281,92.2456
Khagrachhari,23.1077999,91.9889955
কর্ণফুলী নদী,22.2209,91.8066
কাপ্তাই হ্রদ,22.4958,92.2292
সাজেক কিঃমিঃ,23.3857193,92.2920464
জেলা কারাগার,22.64265,92.19111
jela karagar,22.64265,92.19111
জামতলা এলাকা,21.8501918,89.8329331
কুমারী এলাকা,21.7203,92.1154
juraichhari,22.65821,92.38833
ফরেস্ট অফিস,22.6366,92.1794
Marma bazar,22.1953,92.2195
joy nursery,23.1134,91.9778
Mahalchhari,22.9194,92.025
maini river,23.115,91.95
kaptai lake,22.4958,92.2292
khagrachari,23.106,91.979
mahalchhari,22.9194,92.025
Notun Bazar,23.7982944,90.4239709
বাজার এলাকা,23.7601665,90.401985
Manikchhari,22.8396,91.8413
8 mile area,23.65643,91.149156
gokul nagar,23.1165,91.9682
kaptai hrod,22.4958,92.2292
মারমা বাজার,22.1953,92.2195
জয় নার্সারি,23.1134,91.9778
kolar jhiri,21.6508,92.3167
ভাইয়ের দীঘি,23.8184948,90.3807725
কাপ্তাই লেক,22.4958,92.2292
School Para,23.8263109,90.3578338
Fatikchhari,22.6877,91.7812
bilaichari,22.4667,92.375
নতুন বাজার,23.7982944,90.4239709
